"","p","m","alpha","run_time"
"1",100,1,0.01,0.162191390991211
"2",100,1,0.01,0.166868209838867
"3",100,1,0.01,0.399041414260864
"4",100,1,0.01,0.157734155654907
"5",100,1,0.01,0.167032718658447
"6",100,1,0.01,0.165943622589111
"7",100,1,0.01,0.157625913619995
"8",100,1,0.01,0.16929292678833
"9",100,1,0.01,0.167694568634033
"10",100,1,0.01,0.157098054885864
"11",100,10,0.01,0.541819095611572
"12",100,10,0.01,0.450786828994751
"13",100,10,0.01,0.456317901611328
"14",100,10,0.01,0.452861547470093
"15",100,10,0.01,0.441463470458984
"16",100,10,0.01,0.451879024505615
"17",100,10,0.01,0.455153942108154
"18",100,10,0.01,0.452178955078125
"19",100,10,0.01,0.451690435409546
"20",100,10,0.01,0.453476190567017
"21",100,100,0.01,3.017493724823
"22",100,100,0.01,3.2164843082428
"23",100,100,0.01,3.01148128509521
"24",100,100,0.01,2.96974849700928
"25",100,100,0.01,3.00303626060486
"26",100,100,0.01,3.00392460823059
"27",100,100,0.01,2.96699047088623
"28",100,100,0.01,3.00726795196533
"29",100,100,0.01,2.95474672317505
"30",100,100,0.01,3.06901979446411
"31",100,1000,0.01,28.3204092979431
"32",100,1000,0.01,28.3920724391937
"33",100,1000,0.01,28.3129241466522
"34",100,1000,0.01,28.2273478507996
"35",100,1000,0.01,28.1858670711517
"36",100,1000,0.01,28.1485168933868
"37",100,1000,0.01,28.2375881671906
"38",100,1000,0.01,28.3001799583435
"39",100,1000,0.01,28.2447347640991
"40",100,1000,0.01,28.2942740917206
"41",100,1,0.05,0.157769441604614
"42",100,1,0.05,0.167677640914917
"43",100,1,0.05,0.166872262954712
"44",100,1,0.05,0.157482147216797
"45",100,1,0.05,0.165042400360107
"46",100,1,0.05,0.166763544082642
"47",100,1,0.05,0.158295154571533
"48",100,1,0.05,0.165939092636108
"49",100,1,0.05,0.167917728424072
"50",100,1,0.05,0.158908605575562
"51",100,10,0.05,1.70193719863892
"52",100,10,0.05,1.95884227752686
"53",100,10,0.05,1.73526906967163
"54",100,10,0.05,1.70446348190308
"55",100,10,0.05,1.69647645950317
"56",100,10,0.05,1.69690823554993
"57",100,10,0.05,1.69886636734009
"58",100,10,0.05,1.70308780670166
"59",100,10,0.05,1.70597219467163
"60",100,10,0.05,1.69605231285095
"61",100,100,0.05,14.7724072933197
"62",100,100,0.05,14.4087963104248
"63",100,100,0.05,14.4747266769409
"64",100,100,0.05,14.4906129837036
"65",100,100,0.05,14.3640658855438
"66",100,100,0.05,14.5629715919495
"67",100,100,0.05,14.4337024688721
"68",100,100,0.05,14.5963201522827
"69",100,100,0.05,14.3116617202759
"70",100,100,0.05,14.4504594802856
"71",100,1000,0.05,144.860396623611
"72",100,1000,0.05,144.76590514183
"73",100,1000,0.05,145.164845466614
"74",100,1000,0.05,144.768092632294
"75",100,1000,0.05,144.686293363571
"76",100,1000,0.05,149.987891435623
"77",100,1000,0.05,153.093535900116
"78",100,1000,0.05,150.278747797012
"79",100,1000,0.05,151.989402294159
"80",100,1000,0.05,151.596781015396
"81",100,1,0.1,0.160890579223633
"82",100,1,0.1,0.165575981140137
"83",100,1,0.1,0.167112350463867
"84",100,1,0.1,0.156920433044434
"85",100,1,0.1,0.165185689926147
"86",100,1,0.1,0.166990518569946
"87",100,1,0.1,0.158652067184448
"88",100,1,0.1,0.164605617523193
"89",100,1,0.1,0.166938066482544
"90",100,1,0.1,0.157830476760864
"91",100,10,0.1,24.5036678314209
"92",100,10,0.1,24.4442336559296
"93",100,10,0.1,24.2406656742096
"94",100,10,0.1,24.4369184970856
"95",100,10,0.1,24.4328091144562
"96",100,10,0.1,24.4323737621307
"97",100,10,0.1,25.1045455932617
"98",100,10,0.1,24.9261586666107
"99",100,10,0.1,24.3742938041687
"100",100,10,0.1,24.2597517967224
"101",100,100,0.1,206.364584922791
"102",100,100,0.1,205.962095499039
"103",100,100,0.1,205.762756109238
"104",100,100,0.1,205.927962779999
"105",100,100,0.1,205.977691173553
"106",100,100,0.1,206.052168130875
"107",100,100,0.1,205.937126874924
"108",100,100,0.1,205.773505687714
"109",100,100,0.1,206.388644933701
"110",100,100,0.1,205.860558748245
"111",100,1000,0.1,2112.90340399742
"112",100,1000,0.1,2112.70629143715
"113",100,1000,0.1,2146.03281760216
"114",100,1000,0.1,2113.92458605766
"115",100,1000,0.1,2110.76428031921
"116",100,1000,0.1,2112.64614439011
"117",100,1000,0.1,2112.70126652718
"118",100,1000,0.1,2113.04022717476
"119",100,1000,0.1,2112.52641868591
"120",100,1000,0.1,2112.75496888161
"121",90,1,0.01,0.127762317657471
"122",90,1,0.01,0.137984037399292
"123",90,1,0.01,0.127700805664062
"124",90,1,0.01,0.135922431945801
"125",90,1,0.01,0.128283262252808
"126",90,1,0.01,0.134706258773804
"127",90,1,0.01,0.127979040145874
"128",90,1,0.01,0.139394998550415
"129",90,1,0.01,0.12930154800415
"130",90,1,0.01,0.136030912399292
"131",90,10,0.01,0.358527898788452
"132",90,10,0.01,0.365279912948608
"133",90,10,0.01,0.354041576385498
"134",90,10,0.01,0.367369651794434
"135",90,10,0.01,0.35954737663269
"136",90,10,0.01,0.366815567016602
"137",90,10,0.01,0.35649847984314
"138",90,10,0.01,0.366963386535645
"139",90,10,0.01,0.351731300354004
"140",90,10,0.01,0.381540536880493
"141",90,100,0.01,2.38704371452332
"142",90,100,0.01,2.37923121452332
"143",90,100,0.01,2.37388134002686
"144",90,100,0.01,2.39839959144592
"145",90,100,0.01,2.42879223823547
"146",90,100,0.01,2.43152904510498
"147",90,100,0.01,2.37139654159546
"148",90,100,0.01,2.38810658454895
"149",90,100,0.01,2.64344215393066
"150",90,100,0.01,2.37110257148743
"151",90,1000,0.01,22.9353280067444
"152",90,1000,0.01,22.6396143436432
"153",90,1000,0.01,22.6156644821167
"154",90,1000,0.01,22.7884082794189
"155",90,1000,0.01,22.7674481868744
"156",90,1000,0.01,22.7875461578369
"157",90,1000,0.01,22.5919086933136
"158",90,1000,0.01,22.7612416744232
"159",90,1000,0.01,22.7425100803375
"160",90,1000,0.01,22.8543939590454
"161",90,1,0.05,0.132458448410034
"162",90,1,0.05,0.133260011672974
"163",90,1,0.05,0.14148211479187
"164",90,1,0.05,0.13322925567627
"165",90,1,0.05,0.139275312423706
"166",90,1,0.05,0.133320808410645
"167",90,1,0.05,0.148722171783447
"168",90,1,0.05,0.133469343185425
"169",90,1,0.05,0.141760110855103
"170",90,1,0.05,0.130524158477783
"171",90,10,0.05,0.998709678649902
"172",90,10,0.05,0.992169857025146
"173",90,10,0.05,0.998498439788818
"174",90,10,0.05,1.00086641311646
"175",90,10,0.05,0.998249292373657
"176",90,10,0.05,0.994308471679688
"177",90,10,0.05,1.0084536075592
"178",90,10,0.05,1.02221131324768
"179",90,10,0.05,1.00744986534119
"180",90,10,0.05,0.993314504623413
"181",90,100,0.05,8.15274381637573
"182",90,100,0.05,7.88905477523804
"183",90,100,0.05,7.89123558998108
"184",90,100,0.05,7.90047025680542
"185",90,100,0.05,8.14064073562622
"186",90,100,0.05,7.84961414337158
"187",90,100,0.05,7.87609577178955
"188",90,100,0.05,7.90796971321106
"189",90,100,0.05,8.14430165290833
"190",90,100,0.05,7.82144999504089
"191",90,1000,0.05,80.6552395820618
"192",90,1000,0.05,80.2596716880798
"193",90,1000,0.05,80.5172126293182
"194",90,1000,0.05,79.9948706626892
"195",90,1000,0.05,80.2396285533905
"196",90,1000,0.05,80.2283079624176
"197",90,1000,0.05,80.1387798786163
"198",90,1000,0.05,79.9878220558167
"199",90,1000,0.05,80.1844098567963
"200",90,1000,0.05,79.8760244846344
"201",90,1,0.1,0.127508640289307
"202",90,1,0.1,0.144391059875488
"203",90,1,0.1,0.127296924591064
"204",90,1,0.1,0.372776031494141
"205",90,1,0.1,0.128228187561035
"206",90,1,0.1,0.138132810592651
"207",90,1,0.1,0.128271341323853
"208",90,1,0.1,0.134256362915039
"209",90,1,0.1,0.127374172210693
"210",90,1,0.1,0.134708642959595
"211",90,10,0.1,12.8601531982422
"212",90,10,0.1,12.9583170413971
"213",90,10,0.1,12.6668541431427
"214",90,10,0.1,12.6340901851654
"215",90,10,0.1,12.9101839065552
"216",90,10,0.1,12.550927400589
"217",90,10,0.1,12.6270010471344
"218",90,10,0.1,12.9512333869934
"219",90,10,0.1,12.6304812431335
"220",90,10,0.1,12.703439950943
"221",90,100,0.1,117.88319849968
"222",90,100,0.1,117.643081188202
"223",90,100,0.1,118.01544547081
"224",90,100,0.1,117.69872879982
