"","p","m","alpha","run_time"
"1",100,1,0.01,0.095651388168335
"2",100,1,0.01,0.0258827209472656
"3",100,1,0.01,0.0264892578125
"4",100,1,0.01,0.0259261131286621
"5",100,1,0.01,0.201275587081909
"6",100,1,0.01,0.0248181819915771
"7",100,1,0.01,0.02494215965271
"8",100,1,0.01,0.0249786376953125
"9",100,1,0.01,0.0250921249389648
"10",100,1,0.01,0.0253126621246338
"11",100,1,0.01,0.0258138179779053
"12",100,1,0.01,0.0292158126831055
"13",100,1,0.01,0.0301172733306885
"14",100,1,0.01,0.0300719738006592
"15",100,1,0.01,0.0427050590515137
"16",100,1,0.01,0.0256977081298828
"17",100,1,0.01,0.0263350009918213
"18",100,1,0.01,0.026409387588501
"19",100,1,0.01,0.0272185802459717
"20",100,1,0.01,0.0324957370758057
"21",100,1,0.01,0.0314037799835205
"22",100,1,0.01,0.025951623916626
"23",100,1,0.01,0.0288734436035156
"24",100,1,0.01,0.0260426998138428
"25",100,1,0.01,0.0413825511932373
"26",100,1,0.01,0.027137279510498
"27",100,1,0.01,0.0270681381225586
"28",100,1,0.01,0.02740478515625
"29",100,1,0.01,0.0286059379577637
"30",100,1,0.01,0.028404712677002
"31",100,1,0.01,0.0285587310791016
"32",100,1,0.01,0.0268819332122803
"33",100,1,0.01,0.0265295505523682
"34",100,1,0.01,0.0267159938812256
"35",100,1,0.01,0.0423469543457031
"36",100,1,0.01,0.0270330905914307
"37",100,1,0.01,0.02652907371521
"38",100,1,0.01,0.026597261428833
"39",100,1,0.01,0.0263097286224365
"40",100,1,0.01,0.0270476341247559
"41",100,1,0.01,0.0265347957611084
"42",100,1,0.01,0.0263855457305908
"43",100,1,0.01,0.0256943702697754
"44",100,1,0.01,0.0339741706848145
"45",100,1,0.01,0.0390172004699707
"46",100,1,0.01,0.0256469249725342
"47",100,1,0.01,0.0255086421966553
"48",100,1,0.01,0.0257008075714111
"49",100,1,0.01,0.0249731540679932
"50",100,1,0.01,0.0250325202941895
"51",100,1,0.01,0.0249366760253906
"52",100,1,0.01,0.0251090526580811
"53",100,1,0.01,0.0249624252319336
"54",100,1,0.01,0.0249614715576172
"55",100,1,0.01,0.0395288467407227
"56",100,1,0.01,0.0258607864379883
"57",100,1,0.01,0.0253715515136719
"58",100,1,0.01,0.0252680778503418
"59",100,1,0.01,0.0254867076873779
"60",100,1,0.01,0.0260176658630371
"61",100,1,0.01,0.0264570713043213
"62",100,1,0.01,0.0248095989227295
"63",100,1,0.01,0.0270373821258545
"64",100,1,0.01,0.0308341979980469
"65",100,1,0.01,0.039325475692749
"66",100,1,0.01,0.0254514217376709
"67",100,1,0.01,0.0254771709442139
"68",100,1,0.01,0.0253157615661621
"69",100,1,0.01,0.0254256725311279
"70",100,1,0.01,0.0250446796417236
"71",100,1,0.01,0.0254299640655518
"72",100,1,0.01,0.0252683162689209
"73",100,1,0.01,0.0257494449615479
"74",100,1,0.01,0.0254631042480469
"75",100,1,0.01,0.039372444152832
"76",100,1,0.01,0.0291168689727783
"77",100,1,0.01,0.0252728462219238
"78",100,1,0.01,0.0254175662994385
"79",100,1,0.01,0.0250604152679443
"80",100,1,0.01,0.0249524116516113
"81",100,1,0.01,0.0258231163024902
"82",100,1,0.01,0.0271189212799072
"83",100,1,0.01,0.0254912376403809
"84",100,1,0.01,0.0253868103027344
"85",100,1,0.01,0.0390255451202393
"86",100,1,0.01,0.0254611968994141
"87",100,1,0.01,0.0255539417266846
"88",100,1,0.01,0.0253005027770996
"89",100,1,0.01,0.0249876976013184
"90",100,1,0.01,0.0249240398406982
"91",100,1,0.01,0.0260605812072754
"92",100,1,0.01,0.025784969329834
"93",100,1,0.01,0.0273141860961914
"94",100,1,0.01,0.0254347324371338
"95",100,1,0.01,0.039215087890625
"96",100,1,0.01,0.0257964134216309
"97",100,1,0.01,0.0259397029876709
"98",100,1,0.01,0.0253241062164307
"99",100,1,0.01,0.0249979496002197
"100",100,1,0.01,0.0253584384918213
"101",100,10,0.01,0.0263371467590332
"102",100,10,0.01,0.0263922214508057
"103",100,10,0.01,0.0264599323272705
"104",100,10,0.01,0.0262479782104492
"105",100,10,0.01,0.0267581939697266
"106",100,10,0.01,0.0268642902374268
"107",100,10,0.01,0.0285830497741699
"108",100,10,0.01,0.0405673980712891
"109",100,10,0.01,0.0275669097900391
"110",100,10,0.01,0.0272877216339111
"111",100,10,0.01,0.0268120765686035
"112",100,10,0.01,0.0264203548431396
"113",100,10,0.01,0.0268447399139404
"114",100,10,0.01,0.0265524387359619
"115",100,10,0.01,0.0269632339477539
"116",100,10,0.01,0.0406022071838379
"117",100,10,0.01,0.0272319316864014
"118",100,10,0.01,0.0273177623748779
"119",100,10,0.01,0.0271015167236328
"120",100,10,0.01,0.0295820236206055
"121",100,10,0.01,0.0286407470703125
"122",100,10,0.01,0.0264837741851807
"123",100,10,0.01,0.0265288352966309
"124",100,10,0.01,0.0433976650238037
"125",100,10,0.01,0.0313458442687988
"126",100,10,0.01,0.0293970108032227
"127",100,10,0.01,0.0294551849365234
"128",100,10,0.01,0.0290985107421875
"129",100,10,0.01,0.0263371467590332
"130",100,10,0.01,0.0298035144805908
"131",100,10,0.01,0.0264077186584473
"132",100,10,0.01,0.0393321514129639
"133",100,10,0.01,0.0264649391174316
"134",100,10,0.01,0.0274219512939453
"135",100,10,0.01,0.0269196033477783
"136",100,10,0.01,0.0301613807678223
"137",100,10,0.01,0.0268013477325439
"138",100,10,0.01,0.0272018909454346
"139",100,10,0.01,0.0429444313049316
"140",100,10,0.01,0.0282480716705322
"141",100,10,0.01,0.0266237258911133
"142",100,10,0.01,0.026597261428833
"143",100,10,0.01,0.026482105255127
"144",100,10,0.01,0.0264019966125488
"145",100,10,0.01,0.0267441272735596
"146",100,10,0.01,0.0401616096496582
"147",100,10,0.01,0.0277740955352783
"148",100,10,0.01,0.029266357421875
"149",100,10,0.01,0.0274894237518311
"150",100,10,0.01,0.0265414714813232
"151",100,10,0.01,0.0271587371826172
"152",100,10,0.01,0.0265243053436279
"153",100,10,0.01,0.0424890518188477
"154",100,10,0.01,0.0268397331237793
"155",100,10,0.01,0.0263693332672119
"156",100,10,0.01,0.0266242027282715
"157",100,10,0.01,0.026531457901001
"158",100,10,0.01,0.026674747467041
"159",100,10,0.01,0.0307412147521973
"160",100,10,0.01,0.0391778945922852
"161",100,10,0.01,0.0265898704528809
"162",100,10,0.01,0.0263497829437256
"163",100,10,0.01,0.0264253616333008
"164",100,10,0.01,0.0262629985809326
"165",100,10,0.01,0.0264174938201904
"166",100,10,0.01,0.0264689922332764
"167",100,10,0.01,0.0397427082061768
"168",100,10,0.01,0.0265917778015137
"169",100,10,0.01,0.0334055423736572
"170",100,10,0.01,0.0277085304260254
"171",100,10,0.01,0.0262415409088135
"172",100,10,0.01,0.0263683795928955
"173",100,10,0.01,0.026339054107666
"174",100,10,0.01,0.0586268901824951
"175",100,10,0.01,0.0296134948730469
"176",100,10,0.01,0.0299446582794189
"177",100,10,0.01,0.0265779495239258
"178",100,10,0.01,0.0265872478485107
"179",100,10,0.01,0.0276134014129639
"180",100,10,0.01,0.0321815013885498
"181",100,10,0.01,0.0330574512481689
"182",100,10,0.01,0.0544312000274658
"183",100,10,0.01,0.0282044410705566
"184",100,10,0.01,0.0268919467926025
"185",100,10,0.01,0.0265328884124756
"186",100,10,0.01,0.026641845703125
"187",100,10,0.01,0.0273654460906982
"188",100,10,0.01,0.02712082862854
"189",100,10,0.01,0.0268337726593018
"190",100,10,0.01,0.0483489036560059
"191",100,10,0.01,0.0264608860015869
"192",100,10,0.01,0.0265083312988281
"193",100,10,0.01,0.0263926982879639
"194",100,10,0.01,0.0263230800628662
"195",100,10,0.01,0.0263309478759766
"196",100,10,0.01,0.0268495082855225
"197",100,10,0.01,0.0453672409057617
"198",100,10,0.01,0.0312979221343994
"199",100,10,0.01,0.0263781547546387
"200",100,10,0.01,0.0265319347381592
"201",100,100,0.01,0.0377192497253418
"202",100,100,0.01,0.0371203422546387
"203",100,100,0.01,0.206269502639771
"204",100,100,0.01,0.0371673107147217
"205",100,100,0.01,0.0368468761444092
"206",100,100,0.01,0.044008731842041
"207",100,100,0.01,0.0467395782470703
"208",100,100,0.01,0.0467202663421631
"209",100,100,0.01,0.0489058494567871
"210",100,100,0.01,0.0487987995147705
"211",100,100,0.01,0.0542750358581543
"212",100,100,0.01,0.084984302520752
"213",100,100,0.01,0.0378797054290771
"214",100,100,0.01,0.0386872291564941
"215",100,100,0.01,0.0473556518554688
"216",100,100,0.01,0.047433614730835
"217",100,100,0.01,0.0468044281005859
"218",100,100,0.01,0.0483343601226807
"219",100,100,0.01,0.0495355129241943
"220",100,100,0.01,0.0524635314941406
"221",100,100,0.01,0.0816338062286377
"222",100,100,0.01,0.0383400917053223
"223",100,100,0.01,0.0399711132049561
"224",100,100,0.01,0.0473227500915527
"225",100,100,0.01,0.04750657081604
"226",100,100,0.01,0.0475006103515625
"227",100,100,0.01,0.0480062961578369
"228",100,100,0.01,0.0484719276428223
"229",100,100,0.01,0.0519013404846191
"230",100,100,0.01,0.0814907550811768
"231",100,100,0.01,0.0379245281219482
"232",100,100,0.01,0.037684440612793
"233",100,100,0.01,0.0481250286102295
"234",100,100,0.01,0.04813551902771
"235",100,100,0.01,0.0482838153839111
"236",100,100,0.01,0.0498690605163574
"237",100,100,0.01,0.0485525131225586
"238",100,100,0.01,0.0524013042449951
"239",100,100,0.01,0.0820958614349365
"240",100,100,0.01,0.0381968021392822
"241",100,100,0.01,0.050029993057251
"242",100,100,0.01,0.0469381809234619
"243",100,100,0.01,0.0489683151245117
"244",100,100,0.01,0.0480105876922607
"245",100,100,0.01,0.0493922233581543
"246",100,100,0.01,0.0492961406707764
"247",100,100,0.01,0.0542643070220947
"248",100,100,0.01,0.0811398029327393
"249",100,100,0.01,0.0377335548400879
"250",100,100,0.01,0.0374577045440674
"251",100,100,0.01,0.0468587875366211
"252",100,100,0.01,0.0473330020904541
"253",100,100,0.01,0.0462534427642822
"254",100,100,0.01,0.0489916801452637
"255",100,100,0.01,0.0489046573638916
"256",100,100,0.01,0.0540530681610107
"257",100,100,0.01,0.0724692344665527
"258",100,100,0.01,0.0406239032745361
"259",100,100,0.01,0.0482478141784668
"260",100,100,0.01,0.0384860038757324
"261",100,100,0.01,0.0466468334197998
"262",100,100,0.01,0.0439722537994385
"263",100,100,0.01,0.04282546043396
"264",100,100,0.01,0.0430150032043457
"265",100,100,0.01,0.0395135879516602
"266",100,100,0.01,0.0509271621704102
"267",100,100,0.01,0.0375039577484131
"268",100,100,0.01,0.0385830402374268
"269",100,100,0.01,0.0392019748687744
"270",100,100,0.01,0.0391931533813477
"271",100,100,0.01,0.0373086929321289
