"network","p","m","n","epoch","df_correction_method","mean_lambda","mean_df","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,100,500,1,"old",0.00253067057275601,Inf,0.1,1,1,0,0
"ecoli",46,100,500,1,"br",0.00250990328866399,492.640095087951,0.1,1,1,0,0
"ecoli",46,100,500,1,"reiter",0.00250990328866399,493.863796965275,0.1,1,1,0,0
"ecoli",46,100,500,2,"old",0.00255648136280557,Inf,0.1,0.980769230769231,0.980769230769231,2,4
"ecoli",46,100,500,2,"br",0.00255648136280557,492.517388988624,0.1,0.980769230769231,0.980769230769231,2,4
"ecoli",46,100,500,2,"reiter",0.00255648136280557,493.762063547636,0.1,0.980769230769231,0.980769230769231,2,4
"ecoli",46,100,500,3,"old",0.00183496556745388,Inf,0.1,0.981132075471698,0.962962962962963,3,5
"ecoli",46,100,500,3,"br",0.00183352687622059,492.904319319726,0.1,0.981132075471698,0.981132075471698,2,4
"ecoli",46,100,500,3,"reiter",0.00183352687622059,493.799098061685,0.1,0.981132075471698,0.981132075471698,2,4
"ecoli",46,100,500,4,"old",0.00203812166678438,Inf,0.1,1,1,0,0
"ecoli",46,100,500,4,"br",0.00204002050141822,492.667213735375,0.1,1,1,0,0
"ecoli",46,100,500,4,"reiter",0.00204002050141822,493.659718443779,0.1,1,1,0,0
"ecoli",46,100,500,5,"old",0.00167991708903859,Inf,0.1,1,0.981132075471698,1,1
"ecoli",46,100,500,5,"br",0.00168477360686462,492.967657420622,0.1,1,0.981132075471698,1,1
"ecoli",46,100,500,5,"reiter",0.00168477360686462,493.789652588067,0.1,1,0.981132075471698,1,1
"ecoli",46,100,500,6,"old",0.00261703250452206,Inf,0.1,1,1,0,0
"ecoli",46,100,500,6,"br",0.00261760877203287,492.510686812996,0.1,0.981481481481482,1,1,2
"ecoli",46,100,500,6,"reiter",0.00261760877203287,493.786585143258,0.1,0.981481481481482,1,1,2
"ecoli",46,100,500,7,"old",0.00314916303749654,Inf,0.1,0.962962962962963,1,2,7
"ecoli",46,100,500,7,"br",0.00315217398917312,492.220378573887,0.1,0.962962962962963,1,2,7
"ecoli",46,100,500,7,"reiter",0.00315217398917312,493.753779566711,0.1,0.962962962962963,1,2,7
"ecoli",46,100,500,8,"old",0.00189788133372777,Inf,0.1,0.981132075471698,1,1,2
"ecoli",46,100,500,8,"br",0.00189942882024732,493.010352792799,0.1,0.981132075471698,1,1,2
"ecoli",46,100,500,8,"reiter",0.00189942882024732,493.937257021532,0.1,0.981132075471698,1,1,2
"ecoli",46,100,500,9,"old",0.00264214072851919,Inf,0.1,1,1,0,0
"ecoli",46,100,500,9,"br",0.00264214072851919,492.577404332321,0.1,1,1,0,0
"ecoli",46,100,500,9,"reiter",0.00264214072851919,493.86582341981,0.1,1,1,0,0
"ecoli",46,100,500,10,"old",0.00248708226597332,Inf,0.1,1,1,0,0
"ecoli",46,100,500,10,"br",0.00248708226597332,492.578678405516,0.1,1,1,0,0
"ecoli",46,100,500,10,"reiter",0.00248708226597332,493.791235643017,0.1,1,1,0,0
"ecoli",46,100,500,1,"old",0.011505302680282,13558543.5891055,0.5,0.981481481481482,1,1,5
"ecoli",46,100,500,1,"br",0.0115046064299145,487.669136538583,0.5,0.981481481481482,1,1,5
"ecoli",46,100,500,1,"reiter",0.0115046064299145,493.221798541939,0.5,0.981481481481482,1,1,5
"ecoli",46,100,500,2,"old",0.010622154141652,18790171.572924,0.5,0.96551724137931,1,2,6
"ecoli",46,100,500,2,"br",0.0106288405301811,488.273698446298,0.5,0.96551724137931,1,2,6
"ecoli",46,100,500,2,"reiter",0.0106288405301811,493.405279220933,0.5,0.96551724137931,1,2,6
"ecoli",46,100,500,3,"old",0.0108459317662573,13996340.2829233,0.5,1,0.981481481481482,1,1
"ecoli",46,100,500,3,"br",0.0108459317662573,487.990308287507,0.5,1,0.981481481481482,1,1
"ecoli",46,100,500,3,"reiter",0.0108459317662573,493.219015237737,0.5,1,0.981481481481482,1,1
"ecoli",46,100,500,4,"old",0.0125075152814075,14346852.9615981,0.5,1,1,0,8
"ecoli",46,100,500,4,"br",0.0125104765103171,487.043031882114,0.5,1,1,0,8
"ecoli",46,100,500,4,"reiter",0.0125104765103171,493.055267368843,0.5,1,1,0,8
"ecoli",46,100,500,5,"old",0.0113997257915296,21973897.2127039,0.5,1,0.981481481481482,1,1
"ecoli",46,100,500,5,"br",0.011431535620858,487.694134530556,0.5,1,0.981481481481482,1,1
"ecoli",46,100,500,5,"reiter",0.011431535620858,493.210799793701,0.5,1,0.981481481481482,1,1
"ecoli",46,100,500,6,"old",0.0108564587061639,17976295.0713497,0.5,0.963636363636364,1,2,10
"ecoli",46,100,500,6,"br",0.010855524054427,488.011367898559,0.5,0.963636363636364,1,2,10
"ecoli",46,100,500,6,"reiter",0.010855524054427,493.248800344185,0.5,0.963636363636364,1,2,10
"ecoli",46,100,500,7,"old",0.0135010514931151,11435657.0334884,0.5,1,0.983050847457627,1,2
"ecoli",46,100,500,7,"br",0.0135079108550836,486.123432090967,0.5,1,1,0,1
"ecoli",46,100,500,7,"reiter",0.0135079108550836,492.61513487853,0.5,1,1,0,1
"ecoli",46,100,500,8,"old",0.0110329345974987,653766124.531061,0.5,1,1,0,0
"ecoli",46,100,500,8,"br",0.0110329345974987,487.899471171254,0.5,1,1,0,0
"ecoli",46,100,500,8,"reiter",0.0110329345974987,493.222019699081,0.5,1,1,0,0
