"network","p","m","n","epoch","df_correction_method","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,100,1000,1,"old",0.1,0.98876404494382,0.814814814814815,1,2
"ecoli",46,100,1000,1,"br",0.1,0.98876404494382,0.814814814814815,1,2
"ecoli",46,100,1000,1,"reiter",0.1,0.98876404494382,0.814814814814815,1,2
"ecoli",46,100,1000,2,"old",0.1,1,0.663793103448276,0,1
"ecoli",46,100,1000,2,"br",0.1,1,0.663793103448276,0,1
"ecoli",46,100,1000,2,"reiter",0.1,1,0.663793103448276,0,1
"ecoli",46,100,1000,3,"old",0.1,0.987012987012987,0.666666666666667,1,1
"ecoli",46,100,1000,3,"br",0.1,0.987012987012987,0.666666666666667,1,1
"ecoli",46,100,1000,3,"reiter",0.1,0.987012987012987,0.666666666666667,1,1
"ecoli",46,100,1000,4,"old",0.1,1,0.857142857142857,0,0
"ecoli",46,100,1000,4,"br",0.1,1,0.857142857142857,0,0
"ecoli",46,100,1000,4,"reiter",0.1,1,0.857142857142857,0,0
"ecoli",46,100,1000,5,"old",0.1,1,0.772727272727273,0,5
"ecoli",46,100,1000,5,"br",0.1,1,0.772727272727273,0,3
"ecoli",46,100,1000,5,"reiter",0.1,1,0.772727272727273,0,5
"ecoli",46,100,1000,6,"old",0.1,1,0.754385964912281,0,1
"ecoli",46,100,1000,6,"br",0.1,1,0.754385964912281,0,1
"ecoli",46,100,1000,6,"reiter",0.1,1,0.754385964912281,0,1
"ecoli",46,100,1000,7,"old",0.1,1,0.801724137931034,1,21
"ecoli",46,100,1000,7,"br",0.1,1,0.801724137931034,1,21
"ecoli",46,100,1000,7,"reiter",0.1,1,0.801724137931034,1,21
"ecoli",46,100,1000,8,"old",0.1,1,0.845454545454545,0,1
"ecoli",46,100,1000,8,"br",0.1,1,0.845454545454545,0,1
"ecoli",46,100,1000,8,"reiter",0.1,1,0.845454545454545,0,1
"ecoli",46,100,1000,9,"old",0.1,1,0.71551724137931,0,0
"ecoli",46,100,1000,9,"br",0.1,1,0.71551724137931,0,1
"ecoli",46,100,1000,9,"reiter",0.1,1,0.71551724137931,0,0
"ecoli",46,100,1000,10,"old",0.1,1,0.854545454545454,0,5
"ecoli",46,100,1000,10,"br",0.1,1,0.854545454545454,0,5
"ecoli",46,100,1000,10,"reiter",0.1,1,0.854545454545454,0,5
"ecoli",46,100,1000,1,"old",0.5,1,0.821428571428571,0,0
"ecoli",46,100,1000,1,"br",0.5,1,0.821428571428571,0,0
"ecoli",46,100,1000,1,"reiter",0.5,1,0.821428571428571,0,2
"ecoli",46,100,1000,2,"old",0.5,1,0.696428571428571,0,1
"ecoli",46,100,1000,2,"br",0.5,1,0.696428571428571,0,1
"ecoli",46,100,1000,2,"reiter",0.5,1,0.696428571428571,0,1
"ecoli",46,100,1000,3,"old",0.5,0.96875,0.801724137931034,4,6
"ecoli",46,100,1000,3,"br",0.5,0.96875,0.801724137931034,4,4
"ecoli",46,100,1000,3,"reiter",0.5,0.96875,0.801724137931034,4,4
"ecoli",46,100,1000,4,"old",0.5,1,0.652542372881356,0,0
"ecoli",46,100,1000,4,"br",0.5,1,0.652542372881356,0,0
"ecoli",46,100,1000,4,"reiter",0.5,1,0.652542372881356,0,0
"ecoli",46,100,1000,5,"old",0.5,1,0.8125,0,1
"ecoli",46,100,1000,5,"br",0.5,1,0.8125,0,1
"ecoli",46,100,1000,5,"reiter",0.5,1,0.8125,0,1
"ecoli",46,100,1000,6,"old",0.5,0.962025316455696,0.666666666666667,4,16
"ecoli",46,100,1000,6,"br",0.5,0.962025316455696,0.666666666666667,4,16
"ecoli",46,100,1000,6,"reiter",0.5,0.962025316455696,0.666666666666667,4,16
"ecoli",46,100,1000,7,"old",0.5,1,0.723214285714286,0,2
"ecoli",46,100,1000,7,"br",0.5,1,0.723214285714286,0,2
"ecoli",46,100,1000,7,"reiter",0.5,1,0.723214285714286,0,2
"ecoli",46,100,1000,8,"old",0.5,1,0.796296296296296,0,0
"ecoli",46,100,1000,8,"br",0.5,1,0.796296296296296,0,0
"ecoli",46,100,1000,8,"reiter",0.5,1,0.796296296296296,0,0
"ecoli",46,100,1000,9,"old",0.5,0.989247311827957,0.836363636363636,2,6
"ecoli",46,100,1000,9,"br",0.5,0.989247311827957,0.836363636363636,2,6
"ecoli",46,100,1000,9,"reiter",0.5,0.989247311827957,0.836363636363636,2,6
"ecoli",46,100,1000,10,"old",0.5,1,0.5625,1,3
"ecoli",46,100,1000,10,"br",0.5,1,0.5625,1,10
"ecoli",46,100,1000,10,"reiter",0.5,1,0.5625,1,10
"ecoli",46,100,1000,1,"old",0.9,0.974025974025974,0.646551724137931,2,10
"ecoli",46,100,1000,1,"br",0.9,0.974025974025974,0.646551724137931,2,10
"ecoli",46,100,1000,1,"reiter",0.9,0.974025974025974,0.646551724137931,2,10
"ecoli",46,100,1000,2,"old",0.9,0.987951807228916,0.719298245614035,1,13
"ecoli",46,100,1000,2,"br",0.9,0.987951807228916,0.719298245614035,1,13
"ecoli",46,100,1000,2,"reiter",0.9,0.987951807228916,0.719298245614035,1,13
"ecoli",46,100,1000,3,"old",0.9,0.978494623655914,0.8125,1,1
"ecoli",46,100,1000,3,"br",0.9,0.978494623655914,0.8125,1,1
"ecoli",46,100,1000,3,"reiter",0.9,0.978494623655914,0.8125,1,1
"ecoli",46,100,1000,4,"old",0.9,1,0.763157894736842,1,6
"ecoli",46,100,1000,4,"br",0.9,1,0.763157894736842,1,6
"ecoli",46,100,1000,4,"reiter",0.9,1,0.763157894736842,1,16
"ecoli",46,100,1000,5,"old",0.9,0.974683544303797,0.663793103448276,1,3
"ecoli",46,100,1000,5,"br",0.9,0.974683544303797,0.663793103448276,1,12
"ecoli",46,100,1000,5,"reiter",0.9,0.974683544303797,0.663793103448276,1,12
"ecoli",46,100,1000,6,"old",0.9,0.976744186046512,0.724137931034483,2,3
"ecoli",46,100,1000,6,"br",0.9,0.976744186046512,0.724137931034483,2,3
"ecoli",46,100,1000,6,"reiter",0.9,0.976744186046512,0.724137931034483,2,3
"ecoli",46,100,1000,7,"old",0.9,0.977011494252874,0.732758620689655,2,2
"ecoli",46,100,1000,7,"br",0.9,0.977011494252874,0.732758620689655,2,2
"ecoli",46,100,1000,7,"reiter",0.9,0.977011494252874,0.732758620689655,2,2
