"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"1",33,1,100,NA,NA,NA,0.987951807228916,0.942528735632184,6,87,83
"2",33,1,100,NA,NA,NA,0.965909090909091,0.944444444444444,8,90,88
"3",33,1,100,NA,NA,NA,0.954545454545455,0.954545454545455,8,88,88
"4",33,1,100,NA,NA,NA,0.976744186046512,0.943820224719101,7,89,86
"5",33,1,100,NA,NA,NA,0.953488372093023,0.942528735632184,9,87,86
"6",33,1,100,NA,NA,NA,0.965909090909091,0.934065934065934,9,91,88
"7",33,1,100,NA,NA,NA,0.918604651162791,0.929411764705882,13,85,86
"8",33,1,100,NA,NA,NA,0.941860465116279,0.931034482758621,11,87,86
"9",33,1,100,NA,NA,NA,0.975903614457831,0.920454545454545,9,88,83
"10",33,1,100,NA,NA,NA,1,0.939024390243902,5,82,77
"11",33,1,100,NA,NA,NA,0.972602739726027,0.922077922077922,8,77,73
"12",33,1,100,NA,NA,NA,0.9125,0.879518072289157,17,83,80
"13",33,1,100,NA,NA,NA,0.972972972972973,0.96,5,75,74
"14",33,1,100,NA,NA,NA,1,0.902173913043478,9,92,83
"15",33,1,100,NA,NA,NA,0.952380952380952,0.941176470588235,9,85,84
"16",33,1,100,NA,NA,NA,0.975609756097561,0.919540229885057,9,87,82
"17",33,1,100,NA,NA,NA,0.967032967032967,0.946236559139785,8,93,91
"18",33,1,100,NA,NA,NA,0.987012987012987,0.974358974358974,3,78,77
"19",33,1,100,NA,NA,NA,0.979166666666667,0.969072164948454,5,97,96
"20",33,1,100,NA,NA,NA,1,0.956989247311828,4,93,89
"21",33,1,100,NA,NA,NA,1,0.916666666666667,7,84,77
"22",33,1,100,NA,NA,NA,0.947368421052632,0.947368421052632,8,76,76
"23",33,1,100,NA,NA,NA,0.978494623655914,0.957894736842105,6,95,93
"24",33,1,100,NA,NA,NA,0.959459459459459,0.8875,12,80,74
"25",33,1,100,NA,NA,NA,0.957446808510638,0.967741935483871,7,93,94
"26",33,1,100,NA,NA,NA,0.956989247311828,0.956989247311828,8,93,93
"27",33,1,100,NA,NA,NA,0.965909090909091,0.955056179775281,7,89,88
"28",33,1,100,NA,NA,NA,1,0.988235294117647,1,85,84
"29",33,1,100,NA,NA,NA,0.988888888888889,0.978021978021978,3,91,90
"30",33,1,100,NA,NA,NA,0.988888888888889,0.936842105263158,7,95,90
"31",33,1,100,NA,NA,NA,0.967741935483871,0.978260869565217,5,92,93
"32",33,1,100,NA,NA,NA,1,0.9375,5,80,75
"33",33,1,100,NA,NA,NA,0.967032967032967,0.916666666666667,11,96,91
"34",33,1,100,NA,NA,NA,0.947916666666667,0.919191919191919,13,99,96
"35",33,1,100,NA,NA,NA,1,0.94,6,100,94
"36",33,1,100,NA,NA,NA,0.976190476190476,0.964705882352941,5,85,84
"37",33,1,100,NA,NA,NA,0.986842105263158,0.914634146341463,8,82,76
"38",33,1,100,NA,NA,NA,0.973684210526316,0.948717948717949,6,78,76
"39",33,1,100,NA,NA,NA,0.952380952380952,0.963855421686747,7,83,84
"40",33,1,100,NA,NA,NA,0.956043956043956,0.956043956043956,8,91,91
"41",33,1,100,NA,NA,NA,0.948453608247423,0.968421052631579,8,95,97
"42",33,1,100,NA,NA,NA,0.972972972972973,0.888888888888889,11,81,74
"43",33,1,100,NA,NA,NA,0.966292134831461,0.924731182795699,10,93,89
