"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"1",33,1,3000,NA,NA,NA,0.955555555555556,0.895833333333333,14,96,90
"2",33,10,3000,NA,"br",NA,0.955555555555556,0.955555555555556,8,90,90
"3",33,100,3000,NA,"br",NA,0.966666666666667,0.956043956043956,7,91,90
"4",33,1000,3000,NA,"br",NA,0.966666666666667,0.956043956043956,7,91,90
"5",33,1,3000,NA,NA,NA,0.956043956043956,0.925531914893617,11,94,91
"6",33,10,3000,NA,"br",NA,0.978021978021978,0.978021978021978,4,91,91
"7",33,100,3000,NA,"br",NA,0.989010989010989,0.978260869565217,3,92,91
"8",33,1000,3000,NA,"br",NA,0.978021978021978,0.988888888888889,3,90,91
"9",33,1,3000,NA,NA,NA,0.945652173913043,0.966666666666667,8,90,92
"10",33,10,3000,NA,"br",NA,0.967391304347826,0.967391304347826,6,92,92
"11",33,100,3000,NA,"br",NA,0.978260869565217,0.967741935483871,5,93,92
"12",33,1000,3000,NA,"br",NA,0.978260869565217,0.967741935483871,5,93,92
"13",33,1,3000,NA,NA,NA,0.956043956043956,0.925531914893617,11,94,91
"14",33,10,3000,NA,"br",NA,0.923076923076923,0.954545454545455,11,88,91
"15",33,100,3000,NA,"br",NA,0.945054945054945,0.977272727272727,7,88,91
"16",33,1000,3000,NA,"br",NA,0.956043956043956,0.966666666666667,7,90,91
"17",33,1,3000,NA,NA,NA,0.955555555555556,0.934782608695652,10,92,90
"18",33,10,3000,NA,"br",NA,0.966666666666667,0.966666666666667,6,90,90
"19",33,100,3000,NA,"br",NA,0.966666666666667,0.956043956043956,7,91,90
"20",33,1000,3000,NA,"br",NA,0.966666666666667,0.966666666666667,6,90,90
"21",33,1,3000,NA,NA,NA,0.956989247311828,0.936842105263158,10,95,93
"22",33,10,3000,NA,"br",NA,0.946236559139785,0.936170212765957,11,94,93
"23",33,100,3000,NA,"br",NA,0.946236559139785,0.956521739130435,9,92,93
"24",33,1000,3000,NA,"br",NA,0.946236559139785,0.956521739130435,9,92,93
"25",33,1,3000,NA,NA,NA,0.955056179775281,0.934065934065934,10,91,89
"26",33,10,3000,NA,"br",NA,0.955056179775281,0.934065934065934,10,91,89
"27",33,100,3000,NA,"br",NA,0.966292134831461,0.945054945054945,8,91,89
"28",33,1000,3000,NA,"br",NA,0.966292134831461,0.945054945054945,8,91,89
"29",33,1,3000,NA,NA,NA,0.932584269662921,0.912087912087912,14,91,89
"30",33,10,3000,NA,"br",NA,0.943820224719101,0.954545454545455,9,88,89
"31",33,100,3000,NA,"br",NA,0.955056179775281,0.944444444444444,9,90,89
"32",33,1000,3000,NA,"br",NA,0.955056179775281,0.944444444444444,9,90,89
"33",33,1,3000,NA,NA,NA,0.953488372093023,0.921348314606742,11,89,86
"34",33,10,3000,NA,"br",NA,0.953488372093023,0.953488372093023,8,86,86
"35",33,100,3000,NA,"br",NA,0.953488372093023,0.953488372093023,8,86,86
"36",33,1000,3000,NA,"br",NA,0.953488372093023,0.953488372093023,8,86,86
"37",33,1,3000,NA,NA,NA,0.987341772151899,0.886363636363636,11,88,79
"38",33,10,3000,NA,"br",NA,0.987341772151899,0.939759036144578,6,83,79
"39",33,100,3000,NA,"br",NA,0.987341772151899,0.951219512195122,5,82,79
"40",33,1000,3000,NA,"br",NA,0.987341772151899,0.928571428571429,7,84,79
"41",33,1,3000,NA,NA,NA,0.972972972972973,0.878048780487805,12,82,74
"42",33,10,3000,NA,"br",NA,0.986486486486487,0.973333333333333,3,75,74
"43",33,100,3000,NA,"br",NA,0.986486486486487,0.973333333333333,3,75,74
"44",33,1000,3000,NA,"br",NA,0.986486486486487,0.973333333333333,3,75,74
"45",33,1,3000,NA,NA,NA,0.926829268292683,0.863636363636364,18,88,82
"46",33,10,3000,NA,"br",NA,0.951219512195122,0.939759036144578,9,83,82
"47",33,100,3000,NA,"br",NA,0.939024390243902,0.950617283950617,9,81,82
"48",33,1000,3000,NA,"br",NA,0.939024390243902,0.939024390243902,10,82,82
"49",33,1,3000,NA,NA,NA,0.948717948717949,0.936708860759494,9,79,78
"50",33,10,3000,NA,"br",NA,0.935897435897436,0.973333333333333,7,75,78
"51",33,100,3000,NA,"br",NA,0.948717948717949,0.948717948717949,8,78,78
"52",33,1000,3000,NA,"br",NA,0.948717948717949,0.948717948717949,8,78,78
"53",33,1,3000,NA,NA,NA,0.956989247311828,0.927083333333333,11,96,93
"54",33,10,3000,NA,"br",NA,0.978494623655914,0.947916666666667,7,96,93
"55",33,100,3000,NA,"br",NA,0.967741935483871,0.957446808510638,7,94,93
"56",33,1000,3000,NA,"br",NA,0.967741935483871,0.957446808510638,7,94,93
"57",33,1,3000,NA,NA,NA,0.977011494252874,0.934065934065934,8,91,87
"58",33,10,3000,NA,"br",NA,0.942528735632184,0.987951807228916,6,83,87
"59",33,100,3000,NA,"br",NA,0.942528735632184,0.976190476190476,7,84,87
"60",33,1000,3000,NA,"br",NA,0.942528735632184,0.987951807228916,6,83,87
"61",33,1,3000,NA,NA,NA,0.976190476190476,0.931818181818182,8,88,84
"62",33,10,3000,NA,"br",NA,0.964285714285714,0.952941176470588,7,85,84
"63",33,100,3000,NA,"br",NA,0.952380952380952,0.963855421686747,7,83,84
"64",33,1000,3000,NA,"br",NA,0.952380952380952,0.952380952380952,8,84,84
"65",33,1,3000,NA,NA,NA,0.989247311827957,0.92,9,100,93
"66",33,10,3000,NA,"br",NA,0.978494623655914,0.968085106382979,5,94,93
"67",33,100,3000,NA,"br",NA,0.978494623655914,0.978494623655914,4,93,93
"68",33,1000,3000,NA,"br",NA,0.989247311827957,0.978723404255319,3,94,93
"69",33,1,3000,NA,NA,NA,0.962962962962963,0.939759036144578,8,83,81
"70",33,10,3000,NA,"br",NA,0.925925925925926,0.986842105263158,7,76,81
"71",33,100,3000,NA,"br",NA,0.925925925925926,0.974025974025974,8,77,81
"72",33,1000,3000,NA,"br",NA,0.925925925925926,0.974025974025974,8,77,81
"73",33,1,3000,NA,NA,NA,0.979591836734694,0.95049504950495,7,101,98
"74",33,10,3000,NA,"br",NA,0.979591836734694,0.989690721649485,3,97,98
"75",33,100,3000,NA,"br",NA,0.979591836734694,0.989690721649485,3,97,98
"76",33,1000,3000,NA,"br",NA,0.979591836734694,0.989690721649485,3,97,98
"77",33,1,3000,NA,NA,NA,1,0.946808510638298,5,94,89
"78",33,10,3000,NA,"br",NA,1,0.946808510638298,5,94,89
"79",33,100,3000,NA,"br",NA,1,0.956989247311828,4,93,89
"80",33,1000,3000,NA,"br",NA,1,0.956989247311828,4,93,89
"81",33,1,3000,NA,NA,NA,0.9875,0.908045977011494,9,87,80
"82",33,10,3000,NA,"br",NA,1,0.941176470588235,5,85,80
"83",33,100,3000,NA,"br",NA,1,0.941176470588235,5,85,80
"84",33,1000,3000,NA,"br",NA,1,0.930232558139535,6,86,80
"85",33,1,3000,NA,NA,NA,0.936708860759494,0.936708860759494,10,79,79
"86",33,10,3000,NA,"br",NA,0.949367088607595,0.961538461538462,7,78,79
"87",33,100,3000,NA,"br",NA,0.949367088607595,0.949367088607595,8,79,79
"88",33,1000,3000,NA,"br",NA,0.949367088607595,0.949367088607595,8,79,79
"89",33,1,3000,NA,NA,NA,0.969072164948454,0.94949494949495,8,99,97
"90",33,10,3000,NA,"br",NA,0.969072164948454,0.979166666666667,5,96,97
"91",33,100,3000,NA,"br",NA,0.958762886597938,0.978947368421053,6,95,97
"92",33,1000,3000,NA,"br",NA,0.958762886597938,0.948979591836735,9,98,97
"93",33,1,3000,NA,NA,NA,0.974683544303797,0.916666666666667,9,84,79
