"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"1",33,1,100,NA,NA,NA,0.388888888888889,0.259259259259259,31,33
"2",33,10,100,NA,"old",NA,0.277777777777778,0.625,16,20
"3",33,10,100,NA,"br",NA,0.388888888888889,0.636363636363636,15,17
"4",33,10,100,NA,"reiter",NA,0.444444444444444,0.666666666666667,14,19
"5",33,100,100,NA,"old",NA,0.388888888888889,0.777777777777778,13,15
"6",33,100,100,NA,"br",NA,0.388888888888889,0.777777777777778,13,15
"7",33,100,100,NA,"reiter",NA,0.388888888888889,0.777777777777778,13,15
"8",33,1000,100,NA,"old",NA,0.444444444444444,0.666666666666667,14,15
"9",33,1000,100,NA,"br",NA,0.388888888888889,0.7,14,16
"10",33,1000,100,NA,"reiter",NA,0.388888888888889,0.636363636363636,15,16
"11",33,1,100,NA,NA,NA,0.736842105263158,0.538461538461538,17,21
"12",33,10,100,NA,"old",NA,0.526315789473684,0.909090909090909,10,12
"13",33,10,100,NA,"br",NA,0.526315789473684,0.833333333333333,11,13
"14",33,10,100,NA,"reiter",NA,0.526315789473684,0.833333333333333,11,13
"15",33,100,100,NA,"old",NA,0.631578947368421,0.857142857142857,9,14
"16",33,100,100,NA,"br",NA,0.578947368421053,0.846153846153846,10,14
"17",33,100,100,NA,"reiter",NA,0.578947368421053,0.846153846153846,10,14
"18",33,1000,100,NA,"old",NA,0.578947368421053,0.846153846153846,10,14
"19",33,1000,100,NA,"br",NA,0.578947368421053,0.916666666666667,9,13
"20",33,1000,100,NA,"reiter",NA,0.578947368421053,0.916666666666667,9,13
"21",33,1,100,NA,NA,NA,0.461538461538462,0.2,31,32
"22",33,10,100,NA,"old",NA,0.384615384615385,0.833333333333333,9,13
"23",33,10,100,NA,"br",NA,0.615384615384615,0.5,13,17
"24",33,10,100,NA,"reiter",NA,0.538461538461538,0.466666666666667,14,19
"25",33,100,100,NA,"old",NA,0.461538461538462,0.4,16,19
"26",33,100,100,NA,"br",NA,0.461538461538462,0.4,16,19
"27",33,100,100,NA,"reiter",NA,0.461538461538462,0.4,16,19
"28",33,1000,100,NA,"old",NA,0.461538461538462,0.461538461538462,14,17
"29",33,1000,100,NA,"br",NA,0.461538461538462,0.5,13,16
"30",33,1000,100,NA,"reiter",NA,0.461538461538462,0.5,13,16
"31",33,1,100,NA,NA,NA,0.428571428571429,0.264705882352941,37,39
"32",33,10,100,NA,"old",NA,0.380952380952381,0.727272727272727,16,22
"33",33,10,100,NA,"br",NA,0.428571428571429,0.75,15,20
"34",33,10,100,NA,"reiter",NA,0.380952380952381,0.727272727272727,16,22
"35",33,100,100,NA,"old",NA,0.285714285714286,0.75,17,22
"36",33,100,100,NA,"br",NA,0.285714285714286,0.75,17,22
"37",33,100,100,NA,"reiter",NA,0.285714285714286,0.75,17,22
"38",33,1000,100,NA,"old",NA,0.333333333333333,0.777777777777778,16,20
"39",33,1000,100,NA,"br",NA,0.333333333333333,0.875,15,19
"40",33,1000,100,NA,"reiter",NA,0.333333333333333,0.777777777777778,16,20
"41",33,1,100,NA,NA,NA,0.625,0.333333333333333,26,30
"42",33,10,100,NA,"old",NA,0.1875,0.75,14,17
"43",33,10,100,NA,"br",NA,0.375,0.6,14,19
"44",33,10,100,NA,"reiter",NA,0.375,0.6,14,19
"45",33,100,100,NA,"old",NA,0.5,0.727272727272727,11,14
"46",33,100,100,NA,"br",NA,0.5,0.727272727272727,11,15
"47",33,100,100,NA,"reiter",NA,0.5,0.666666666666667,12,16
"48",33,1000,100,NA,"old",NA,0.5,0.8,10,13
"49",33,1000,100,NA,"br",NA,0.5625,0.818181818181818,9,11
"50",33,1000,100,NA,"reiter",NA,0.5625,0.818181818181818,9,11
"51",33,1,100,NA,NA,NA,0.347826086956522,0.380952380952381,28,30
"52",33,10,100,NA,"old",NA,0.130434782608696,0.75,21,24
"53",33,10,100,NA,"br",NA,0.217391304347826,0.625,21,25
"54",33,10,100,NA,"reiter",NA,0.130434782608696,0.5,23,26
"55",33,100,100,NA,"old",NA,0.391304347826087,0.818181818181818,16,20
"56",33,100,100,NA,"br",NA,0.391304347826087,0.75,17,21
"57",33,100,100,NA,"reiter",NA,0.391304347826087,0.818181818181818,16,20
"58",33,1000,100,NA,"old",NA,0.391304347826087,0.818181818181818,16,20
"59",33,1000,100,NA,"br",NA,0.391304347826087,0.75,17,21
"60",33,1000,100,NA,"reiter",NA,0.391304347826087,0.75,17,21
"61",33,1,100,NA,NA,NA,0.578947368421053,0.523809523809524,18,21
"62",33,10,100,NA,"old",NA,0.157894736842105,0.5,19,22
"63",33,10,100,NA,"br",NA,0.473684210526316,0.75,13,18
"64",33,10,100,NA,"reiter",NA,0.421052631578947,0.727272727272727,14,20
"65",33,100,100,NA,"old",NA,0.473684210526316,0.75,13,18
"66",33,100,100,NA,"br",NA,0.473684210526316,0.75,13,18
"67",33,100,100,NA,"reiter",NA,0.473684210526316,0.75,13,18
"68",33,1000,100,NA,"old",NA,0.473684210526316,0.75,13,18
"69",33,1000,100,NA,"br",NA,0.473684210526316,0.75,13,18
"70",33,1000,100,NA,"reiter",NA,0.473684210526316,0.75,13,18
"71",33,1,100,NA,NA,NA,0.636363636363636,0.482758620689655,23,26
"72",33,10,100,NA,"old",NA,0.409090909090909,1,13,21
"73",33,10,100,NA,"br",NA,0.409090909090909,0.9,14,22
