"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"1",33,10,3000,0.141858192760826,"old",1105.11138497752,0.939759036144578,0.962962962962963,8,8
"2",33,100,3000,0.138014465373021,"old",7974.78721762434,0.951807228915663,0.951807228915663,8,8
"3",33,10,3000,0.155769996298949,"old",878.275042661282,0.920454545454545,0.952941176470588,11,12
"4",33,100,3000,0.157948709540618,"old",5601.03086871507,0.943181818181818,0.954022988505747,9,10
"5",33,10,3000,0.179209117189789,"old",556.780600871889,0.943181818181818,0.976470588235294,7,7
"6",33,100,3000,0.167769558621114,"old",4153.24618734487,0.943181818181818,0.976470588235294,7,7
"7",33,10,3000,0.153676820188965,"old",822.290923694185,0.953488372093023,0.976190476190476,6,9
"8",33,100,3000,0.152590065663926,"old",5756.52903461361,0.930232558139535,0.987654320987654,7,10
"9",33,10,3000,0.177745926326786,"old",783.332996114561,0.918604651162791,0.975308641975309,9,11
"10",33,100,3000,0.168209898979382,"old",4883.93050505801,0.941860465116279,0.952941176470588,9,10
"11",33,10,3000,0.147345824188421,"old",1135.17671940936,0.965909090909091,0.923913043478261,10,10
"12",33,100,3000,0.145662989189258,"old",6272.11522856745,0.965909090909091,0.955056179775281,7,7
"13",33,10,3000,0.173084211490242,"old",434.175013243706,0.906976744186046,0.951219512195122,12,12
"14",33,100,3000,0.171760870036916,"old",3755.74584963604,0.906976744186046,0.939759036144578,13,13
"15",33,10,3000,0.159555524052925,"old",722.23957990464,0.906976744186046,0.917647058823529,15,15
"16",33,100,3000,0.149411283257846,"old",6539.92632452848,0.906976744186046,0.906976744186046,16,16
"17",33,10,3000,0.14291158108525,"old",954.310244989277,0.939759036144578,0.928571428571429,11,12
"18",33,100,3000,0.146663736096303,"old",5651.7074726169,0.951807228915663,0.951807228915663,8,9
"19",33,10,3000,0.144667350870067,"old",936.092041774115,0.974025974025974,0.925925925925926,8,8
"20",33,100,3000,0.141375788380494,"old",6361.34223410714,0.961038961038961,0.902439024390244,11,12
"21",33,10,3000,0.177565110949798,"old",581.890119122785,0.986301369863014,0.96,4,4
"22",33,100,3000,0.150148644957788,"old",5066.60393292614,0.972602739726027,0.934210526315789,7,8
"23",33,10,3000,0.16620556324031,"old",954.302285861074,0.925,0.973684210526316,8,8
"24",33,100,3000,0.15728074578146,"old",6388.93533069935,0.95,0.974358974358974,6,6
"25",33,10,3000,0.15521023473531,"old",645.447327841778,0.932432432432432,0.932432432432432,10,11
"26",33,100,3000,0.157155230543063,"old",4607.88753347144,0.959459459459459,0.946666666666667,7,8
"27",33,10,3000,0.169847458509439,"old",886.123144048826,0.963855421686747,0.909090909090909,11,12
