"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"1",33,10,100,0.0744621590362949,"old",Inf,0.611111111111111,0.785714285714286,10,14
"2",33,100,100,0.074047492538974,"old",Inf,0.722222222222222,0.8125,8,12
"3",33,10,100,0.0739070388408267,"old",Inf,0.789473684210526,0.75,9,10
"4",33,100,100,0.0719204889504461,"old",Inf,0.631578947368421,0.8,10,14
"5",33,10,100,0.0780513594754572,"old",Inf,0.769230769230769,0.714285714285714,7,8
"6",33,100,100,0.0773837905456345,"old",Inf,0.692307692307692,0.75,7,10
"7",33,10,100,0.0754690861880792,"old",Inf,0.666666666666667,0.7,13,14
"8",33,100,100,0.0737499927817791,"old",Inf,0.714285714285714,0.681818181818182,13,14
"9",33,10,100,0.0719503573307087,"old",27505125242.6682,0.875,0.736842105263158,7,9
"10",33,100,100,0.0687354543078731,"old",829413544.33848,0.8125,0.8125,6,9
"11",33,10,100,0.0791221070409582,"old",Inf,0.826086956521739,0.95,5,8
"12",33,100,100,0.0744325831768863,"old",Inf,0.826086956521739,0.904761904761905,6,9
"13",33,10,100,0.0752454449211017,"old",Inf,0.736842105263158,0.933333333333333,6,12
"14",33,100,100,0.0721962309717383,"old",Inf,0.631578947368421,1,7,12
"15",33,10,100,0.0836539328003975,"old",Inf,0.727272727272727,0.888888888888889,8,11
"16",33,100,100,0.0761009513508824,"old",Inf,0.681818181818182,0.9375,8,10
"17",33,10,100,0.0753146075983488,"old",Inf,0.777777777777778,0.933333333333333,5,6
"18",33,100,100,0.0702458745612919,"old",Inf,0.666666666666667,0.923076923076923,7,10
"19",33,10,100,0.0723775692302068,"old",Inf,0.739130434782609,0.739130434782609,12,16
"20",33,100,100,0.0682697991837911,"old",Inf,0.739130434782609,0.85,9,12
"21",33,10,100,0.0633292681871419,"old",Inf,0.740740740740741,0.769230769230769,13,16
"22",33,100,100,0.0661470337658543,"old",Inf,0.703703703703704,0.791666666666667,13,17
"23",33,10,100,0.0626766169741061,"old",37654.4246303684,0.6875,0.523809523809524,15,18
"24",33,100,100,0.0665461180225074,"old",234403.52082116,0.75,0.6,12,15
"25",33,10,100,0.0784274737557443,"old",41449.4861006768,0.695652173913043,0.842105263157895,10,15
"26",33,100,100,0.0724819864451379,"old",377834.592843636,0.652173913043478,0.882352941176471,10,14
