"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"1",33,1,3000,NA,NA,NA,0.955555555555556,0.895833333333333,14,16
"2",33,10,3000,0.062424525493902,"old",3854.20888842333,0.877777777777778,0.9875,12,13
"3",33,10,3000,0.060410659214129,"br",1431.07319602302,0.955555555555556,0.955555555555556,8,10
"4",33,10,3000,0.060410659214129,"reiter",824.940176032038,0.955555555555556,0.955555555555556,8,10
"5",33,100,3000,0.0550155962244743,"old",35779.359894936,0.966666666666667,0.966666666666667,6,8
"6",33,100,3000,0.0560347677611373,"br",2589.2731700187,0.966666666666667,0.956043956043956,7,9
"7",33,100,3000,0.0560347677611373,"reiter",2708.06284254242,0.966666666666667,0.956043956043956,7,9
"8",33,1000,3000,0.0539607984253591,"old",356830.904479519,0.966666666666667,0.956043956043956,7,9
"9",33,1000,3000,0.0539607984253591,"br",2806.63666702049,0.966666666666667,0.956043956043956,7,9
"10",33,1000,3000,0.0539607984253591,"reiter",2964.75531211313,0.966666666666667,0.956043956043956,7,9
"11",33,1,3000,NA,NA,NA,0.956043956043956,0.925531914893617,11,11
"12",33,10,3000,0.0568821672563315,"old",4636.42437989971,0.934065934065934,1,6,6
"13",33,10,3000,0.0590483138974086,"br",1434.63082288891,0.978021978021978,0.978021978021978,4,4
"14",33,10,3000,0.0590483138974086,"reiter",822.120626832065,0.978021978021978,0.978021978021978,4,4
"15",33,100,3000,0.0568557974011331,"old",32796.8726692257,0.978021978021978,0.988888888888889,3,3
"16",33,100,3000,0.0567084734116765,"br",2583.2516850909,0.989010989010989,0.978260869565217,3,3
"17",33,100,3000,0.0567084734116765,"reiter",2702.88368083297,0.989010989010989,0.978260869565217,3,3
"18",33,1000,3000,0.0532740830475221,"old",368955.695501776,0.978021978021978,0.988888888888889,3,3
"19",33,1000,3000,0.0532740830475221,"br",2809.81914971124,0.978021978021978,0.988888888888889,3,3
"20",33,1000,3000,0.0532740830475221,"reiter",2966.02286711016,0.978021978021978,0.988888888888889,3,3
"21",33,1,3000,NA,NA,NA,0.945652173913043,0.966666666666667,8,9
"22",33,10,3000,0.0518207120897941,"old",8898.69360230426,0.91304347826087,1,8,9
"23",33,10,3000,0.0451925145168056,"br",1802.76350154096,0.967391304347826,0.967391304347826,6,6
"24",33,10,3000,0.0451925145168056,"reiter",1151.34097015168,0.967391304347826,0.967391304347826,6,6
"25",33,100,3000,0.0545530229064185,"old",36175.7932387179,0.967391304347826,0.967391304347826,6,6
